VCD info: dumpfile dump.vcd opened for output.
0 clk 0 rst 1 q xxxx  x
10 clk 1 rst 1 q 0000  0
20 clk 0 rst 1 q 0000  0
30 clk 1 rst 1 q 0000  0
40 clk 0 rst 1 q 0000  0
50 clk 1 rst 0 q 0000  0
60 clk 0 rst 0 q 0000  0
70 clk 1 rst 0 q 0001  1
80 clk 0 rst 0 q 0001  1
90 clk 1 rst 0 q 0010  2
100 clk 0 rst 0 q 0010  2
110 clk 1 rst 0 q 0011  3
120 clk 0 rst 0 q 0011  3
130 clk 1 rst 0 q 0100  4
140 clk 0 rst 0 q 0100  4
150 clk 1 rst 0 q 0101  5
160 clk 0 rst 0 q 0101  5
170 clk 1 rst 0 q 0110  6
180 clk 0 rst 0 q 0110  6
190 clk 1 rst 0 q 0111  7
200 clk 0 rst 0 q 0111  7
210 clk 1 rst 0 q 1000  8
220 clk 0 rst 0 q 1000  8
230 clk 1 rst 0 q 1001  9
240 clk 0 rst 0 q 1001  9
250 clk 1 rst 0 q 1010 10
260 clk 0 rst 0 q 1010 10
270 clk 1 rst 0 q 1011 11
280 clk 0 rst 0 q 1011 11
290 clk 1 rst 0 q 1100 12
300 clk 0 rst 0 q 1100 12
310 clk 1 rst 0 q 1101 13
320 clk 0 rst 0 q 1101 13
330 clk 1 rst 0 q 1110 14
340 clk 0 rst 0 q 1110 14
350 clk 1 rst 0 q 1111 15
360 clk 0 rst 0 q 1111 15
370 clk 1 rst 0 q 0000  0
380 clk 0 rst 0 q 0000  0
390 clk 1 rst 0 q 0001  1
400 clk 0 rst 0 q 0001  1
410 clk 1 rst 0 q 0010  2
420 clk 0 rst 0 q 0010  2
430 clk 1 rst 0 q 0011  3
440 clk 0 rst 0 q 0011  3
450 clk 1 rst 0 q 0100  4
460 clk 0 rst 0 q 0100  4
470 clk 1 rst 0 q 0101  5
480 clk 0 rst 0 q 0101  5
490 clk 1 rst 0 q 0110  6
500 clk 0 rst 0 q 0110  6
510 clk 1 rst 0 q 0111  7
520 clk 0 rst 0 q 0111  7
530 clk 1 rst 0 q 1000  8
540 clk 0 rst 0 q 1000  8
550 clk 1 rst 0 q 1001  9
560 clk 0 rst 0 q 1001  9
570 clk 1 rst 0 q 1010 10
580 clk 0 rst 0 q 1010 10
590 clk 1 rst 0 q 1011 11
600 clk 0 rst 0 q 1011 11
610 clk 1 rst 0 q 1100 12
620 clk 0 rst 0 q 1100 12
630 clk 1 rst 0 q 1101 13
640 clk 0 rst 0 q 1101 13
650 clk 1 rst 0 q 1110 14
660 clk 0 rst 0 q 1110 14
670 clk 1 rst 0 q 1111 15
680 clk 0 rst 0 q 1111 15
690 clk 1 rst 0 q 0000  0
700 clk 0 rst 0 q 0000  0
710 clk 1 rst 0 q 0001  1
720 clk 0 rst 0 q 0001  1
730 clk 1 rst 0 q 0010  2
740 clk 0 rst 0 q 0010  2
750 clk 1 rst 0 q 0011  3
760 clk 0 rst 0 q 0011  3
770 clk 1 rst 0 q 0100  4
780 clk 0 rst 0 q 0100  4
790 clk 1 rst 0 q 0101  5
800 clk 0 rst 0 q 0101  5
810 clk 1 rst 0 q 0110  6
820 clk 0 rst 0 q 0110  6
830 clk 1 rst 0 q 0111  7
840 clk 0 rst 0 q 0111  7
850 clk 1 rst 0 q 1000  8
860 clk 0 rst 0 q 1000  8
870 clk 1 rst 0 q 1001  9
880 clk 0 rst 0 q 1001  9
890 clk 1 rst 0 q 1010 10
900 clk 0 rst 0 q 1010 10
910 clk 1 rst 0 q 1011 11
920 clk 0 rst 0 q 1011 11
930 clk 1 rst 0 q 1100 12
940 clk 0 rst 0 q 1100 12
950 clk 1 rst 0 q 1101 13
960 clk 0 rst 0 q 1101 13
970 clk 1 rst 0 q 1110 14
980 clk 0 rst 0 q 1110 14
990 clk 1 rst 0 q 1111 15
